Aces,Break Points Won,Double Faults,First Serve,Name,Net Points Won,Receiving Points Won Pct,Total Points Won,Unforced Errors,Win On 1st Serve,Win On 2nd Serve Pct,Winners,Max Speed,1st Serve Average Speed,2nd Serve Average Speed
2,6,1,57/89 (64%),N.DJOKOVIC,23/35 (66%),48,112,28,40/57 (70%),59,44,199,187,150
5,2,4,77/111 (69%),K.KHACHANOV,15/27 (56%),34,88,31,42/77 (55%),47,31,196,185,151
4,6,0,85/100 (85%),P.CARRENO BUSTA,26/38 (68%),46,111,27,56/85 (66%),47,44,195,166,130
5,1,4,68/105 (65%),D.ALTMAIER,24/34 (71%),37,94,31,38/68 (56%),51,37,199,184,138
8,5,5,103/168 (61%),M.FUCSOVICS,23/32 (72%),36,151,63,69/103 (67%),42,61,194,177,141
5,7,3,85/151 (56%),A.RUBLEV,29/42 (69%),43,168,47,63/85 (74%),50,44,210,186,135
1,0,4,74/105 (70%),G.DIMITROV,12/23 (52%),29,90,53,46/74 (62%),48,22,205,180,145
3,3,0,62/100 (62%),S.TSITSIPAS,12/19 (63%),42,115,30,44/62 (71%),71,24,206,189,150
1,3,4,46/81 (57%),L.SONEGO,15/24 (63%),35,63,48,28/46 (61%),26,18,205,185,154
1,8,3,44/74 (59%),D.SCHWARTZMAN,10/19 (53%),54,92,23,30/44 (68%),60,15,180,160,133
1,3,1,99/159 (62%),H.GASTON,24/36 (67%),30,147,45,67/99 (68%),60,30,192,162,133
7,4,2,98/146 (67%),D.THIEM,37/64 (58%),35,158,63,74/98 (76%),58,59,214,182,153
3,2,4,71/108 (66%),A.ZVEREV,13/22 (59%),36,118,47,51/71 (72%),41,20,218,197,150
3,5,6,81/143 (57%),J.SINNER,21/29 (72%),39,133,56,58/81 (72%),53,39,205,183,146
0,1,2,46/68 (68%),S.KORDA,12/17 (71%),35,55,48,18/46 (39%),45,21,196,175,138
1,8,1,53/78 (68%),R.NADAL,7/11 (64%),59,91,20,33/53 (62%),72,15,191,177,143
