S.TSITSIPAS,411.0
N.DJOKOVIC,385.0
A.ZVEREV,340.0
R.NADAL,309.0
D.SCHWARTZMAN,282.0
D.MEDVEDEV,272.0
A.DAVIDOVICH FOKINA,227.0
L.MUSETTI,222.0
J.SINNER,221.0
P.CARRENO BUSTA,219.0
K.NISHIKORI,215.0
M.BERRETTINI,213.0
JL.STRUFF,204.0
F.DELBONIS,197.0
R.FEDERER,194.0
C.GARIN,190.0
J.ISNER,173.0
S.KWON,172.0
D.KOEPFER,172.0
P.KOHLSCHREIBER,170.0
C.ALCARAZ,166.0
C.RUUD,159.0
M.CECCHINATO,156.0
C.NORRIE,147.0
F.FOGNINI,147.0
R.BERANKIS,145.0
H.LAAKSONEN,145.0
M.GIRON,141.0
L.DJERE,136.0
R.OPELKA,136.0
S.JOHNSON,135.0
R.BAUTISTA AGUT,128.0
A.KARATSEV,126.0
M.YMER,125.0
T.FRITZ,123.0
P.CUEVAS,118.0
L.HARRIS,114.0
B.VAN DE ZANDSCHULP,114.0
A.DE MINAUR,108.0
F.KRAJINOVIC,107.0
N.BASILASHVILI,106.0
K.KHACHANOV,106.0
M.MCDONALD,106.0
F.BAGNIS,105.0
R.GASQUET,104.0
E.COUACAUD,104.0
J.MUNAR,103.0
A.SEPPI,102.0
M.KECMANOVIC,101.0
R.SAFIULLIN,97.0
G.MAGER,96.0
G.PELLA,96.0
Y.NISHIOKA,95.0
A.BEDENE,95.0
K.MAJCHRZAK,95.0
M.FUCSOVICS,93.0
M.CILIC,90.0
P.MARTINEZ,90.0
T.PAUL,89.0
T.MONTEIRO,88.0
J.DUCKWORTH,87.0
P.ANDUJAR,82.0
F.CORIA,77.0
G.MONFILS,75.0
A.RAMOS-VINOLAS,62.0
Y.UCHIYAMA,59.0
L.SONEGO,58.0
A.RUBLEV,56.0
C.O'CONNELL,56.0
J.BROOKSBY,55.0
S.CARUSO,54.0
F.AUGER-ALIASSIME,54.0
B.FRATANGELO,54.0
T.SANDGREN,53.0
T.DANIEL,53.0
E.RUUSUVUORI,53.0
U.HUMBERT,52.0
F.VERDASCO,52.0
A.GIANNESSI,52.0
H.HURKACZ,52.0
S.TRAVAGLIA,51.0
D.ISTOMIN,50.0
R.CARBALLES BAENA,50.0
B.BONZI,50.0
A.CAZAUX,50.0
G.SIMON,50.0
S.QUERREY,50.0
K.ANDERSON,49.0
PH.HERBERT,49.0
P.GOJOWCZYK,49.0
JI.LONDERO,49.0
J.THOMPSON,49.0
F.TIAFOE,48.0
A.MANNARINO,47.0
Y.HANFMANN,47.0
DE.GALAN,47.0
F.LOPEZ,46.0
A.POPYRIN,45.0
D.LAJOVIC,45.0
C.MOUTET,45.0
G.BARRERE,45.0
S.KORDA,45.0
E.GERASIMOV,45.0
A.RINDERKNECH,43.0
H.GASTON,43.0
D.EVANS,43.0
M.KUKUSHKIN,43.0
JW.TSONGA,42.0
G.DIMITROV,42.0
J.SOUSA,41.0
B.ZAPATA MIRALLES,41.0
C.TABERNER,41.0
M.VILELLA MARTINEZ,40.0
B.PAIRE,40.0
M.MARTERER,39.0
M.BOURGUE,38.0
L.POUILLE,37.0
F.CERUNDOLO,37.0
O.OTTE,35.0
A.MARTIN,35.0
D.THIEM,34.0
N.GOMBOS,34.0
D.GOFFIN,33.0
A.BUBLIK,32.0
YH.LU,31.0
J.CHARDY,31.0
R.ALBOT,27.0
J.VESELY,24.0
